word,max_lem_cat,max_lem_lemma,marking
amarga,ADJECTIVE,amargo,
amargado,ADJECTIVE,amargado,
amargo,ADJECTIVE,amargo,
amarilla,ADJECTIVE,amarillo,
amarrado,ADJECTIVE,amarrado,
ambicioso,ADJECTIVE,ambicioso,
ambiental,ADJECTIVE,ambiental,
ambiguo,ADJECTIVE,ambiguo,
ambivalente,ADJECTIVE,ambivalente,
ambulante,ADJECTIVE,ambulante,
amena,ADJECTIVE,ameno,
amenazante,ADJECTIVE,amenazante,
ameno,ADJECTIVE,ameno,
americano,ADJECTIVE,americano,
amigable,ADJECTIVE,amigable,
amigables,ADJECTIVE,amigable,
amistoso,ADJECTIVE,amistoso,
amoral,ADJECTIVE,amoral,
amorfo,ADJECTIVE,amorfo,
amorosa,ADJECTIVE,amoroso,
amorosas,ADJECTIVE,amoroso,
amoroso,ADJECTIVE,amoroso,
amorosos,ADJECTIVE,amoroso,
amplia,ADJECTIVE,amplio,
amplio,ADJECTIVE,amplio,
anal,ADJECTIVE,anal,
analfabeto,ADJECTIVE,analfabeto,
analgésico,ADJECTIVE,analgésico,
analítico,ADJECTIVE,analítico,
anaranjado,ADJECTIVE,anaranjado,
anarquista,ADJECTIVE,anarquista,
ancestral,ADJECTIVE,ancestral,
ancha,ADJECTIVE,ancho,
ancho,ADJECTIVE,ancho,
anfibio,ADJECTIVE,anfibio,
angelical,ADJECTIVE,angelical,
angosta,ADJECTIVE,angosto,
angosto,ADJECTIVE,angosto,
angustiado,ADJECTIVE,angustiado,
angustiante,ADJECTIVE,angustiante,
animado,ADJECTIVE,animado,
animador,ADJECTIVE,animador,
animados,ADJECTIVE,animado,
aniversario,ADJECTIVE,aniversario,
anormal,ADJECTIVE,anormal,
anotador,ADJECTIVE,anotador,
ansiosa,ADJECTIVE,ansioso,
ansioso,ADJECTIVE,ansioso,
antecedentes,ADJECTIVE,antecedente,
anterior,ADJECTIVE,anterior,
antibióticos,ADJECTIVE,antibiótico,
anticuado,ADJECTIVE,anticuado,
antiestético,ADJECTIVE,antiestético,
antigua,ADJECTIVE,antiguo,
antiguas,ADJECTIVE,antiguo,
antiguo,ADJECTIVE,antiguo,
antiguos,ADJECTIVE,antiguo,
antinatural,ADJECTIVE,antinatural,
antipático,ADJECTIVE,antipático,
antisocial,ADJECTIVE,antisocial,
anual,ADJECTIVE,anual,
nuevo,ADJECTIVE,nuevo,
añoso,ADJECTIVE,añoso,
apacible,ADJECTIVE,apacible,
apagado,ADJECTIVE,apagado,
apagón,ADJECTIVE,apagón,
aparente,ADJECTIVE,aparente,
apasionado,ADJECTIVE,apasionado,
apático,ADJECTIVE,apático,
apestoso,ADJECTIVE,apestoso,
apetecible,ADJECTIVE,apetecible,
apetitoso,ADJECTIVE,apetitoso,
aplicada,ADJECTIVE,aplicado,
aplicado,ADJECTIVE,aplicado,
apocado,ADJECTIVE,apocado,
apremiante,ADJECTIVE,apremiante,
apresurado,ADJECTIVE,apresurado,
apretada,ADJECTIVE,apretado,
apretado,ADJECTIVE,apretado,
apropiado,ADJECTIVE,apropiado,
aprovechador,ADJECTIVE,aprovechador,
aproximado,ADJECTIVE,aproximado,
apto,ADJECTIVE,apto,
apurada,ADJECTIVE,apurado,
apurado,ADJECTIVE,apurado,
árabe,ADJECTIVE,árabe,
arácnido,ADJECTIVE,arácnido,
arbitrario,ADJECTIVE,arbitrario,
árbitro,ADJECTIVE,árbitro,
arcaico,ADJECTIVE,arcaico,
ardiente,ADJECTIVE,ardiente,
ardilla,ADJECTIVE,ardilla,
ardua,ADJECTIVE,arduo,
arduo,ADJECTIVE,arduo,
argentinas,ADJECTIVE,argentino,
argentinos,ADJECTIVE,argentino,
árido,ADJECTIVE,árido,
arisco,ADJECTIVE,arisco,
armado,ADJECTIVE,armado,
armónica,ADJECTIVE,armónico,
armónico,ADJECTIVE,armónico,
armoniosa,ADJECTIVE,armonioso,
armonioso,ADJECTIVE,armonioso,
aromático,ADJECTIVE,aromático,
arrastrado,ADJECTIVE,arrastrado,
arrebatado,ADJECTIVE,arrebatado,
arreglada,ADJECTIVE,arreglado,
arrepentido,ADJECTIVE,arrepentido,
arriesgado,ADJECTIVE,arriesgado,
arrogante,ADJECTIVE,arrogante,
arrugado,ADJECTIVE,arrugado,
marciales,ADJECTIVE,marcial,
artesanal,ADJECTIVE,artesanal,
artificial,ADJECTIVE,artificial,
artística,ADJECTIVE,artístico,
artístico,ADJECTIVE,artístico,
asalariado,ADJECTIVE,asalariado,
aseado,ADJECTIVE,aseado,
asediado,ADJECTIVE,asediado,
asertivo,ADJECTIVE,asertivo,
asfixiado,ADJECTIVE,asfixiado,
asfixiante,ADJECTIVE,asfixiante,
asiático,ADJECTIVE,asiático,
asiduo,ADJECTIVE,asiduo,
asistente,ADJECTIVE,asistente,
asociado,ADJECTIVE,asociado,
asombrado,ADJECTIVE,asombrado,
asombroso,ADJECTIVE,asombroso,
áspera,ADJECTIVE,áspero,
áspero,ADJECTIVE,áspero,
asqueado,ADJECTIVE,asqueado,
asquerosa,ADJECTIVE,asqueroso,
asqueroso,ADJECTIVE,asqueroso,
asquerosos,ADJECTIVE,asqueroso,
astral,ADJECTIVE,astral,
astronauta,ADJECTIVE,astronauta,
astuto,ADJECTIVE,astuto,
asustadizo,ADJECTIVE,asustadizo,
asustado,ADJECTIVE,asustado,
atado,ADJECTIVE,atado,
atados,ADJECTIVE,atado,
atascado,ADJECTIVE,atascado,
atemporal,ADJECTIVE,atemporal,
atenta,ADJECTIVE,atento,
atento,ADJECTIVE,atento,
ateo,ADJECTIVE,ateo,
aterrador,ADJECTIVE,aterrador,
ático,ADJECTIVE,ático,
atinado,ADJECTIVE,atinado,
atípico,ADJECTIVE,atípico,
atolondrado,ADJECTIVE,atolondrado,
atónito,ADJECTIVE,atónito,
atontado,ADJECTIVE,atontado,
atorado,ADJECTIVE,atorado,
atorrante,ADJECTIVE,atorrante,
atractiva,ADJECTIVE,atractivo,
atractivo,ADJECTIVE,atractivo,
atrapado,ADJECTIVE,atrapado,
atrasado,ADJECTIVE,atrasado,
atrayente,ADJECTIVE,atrayente,
atrevida,ADJECTIVE,atrevido,
atropellado,ADJECTIVE,atropellado,
atroz,ADJECTIVE,atroz,
aturdido,ADJECTIVE,aturdido,
audaz,ADJECTIVE,audaz,
audible,ADJECTIVE,audible,
audiovisual,ADJECTIVE,audiovisual,
auditivo,ADJECTIVE,auditivo,
ausente,ADJECTIVE,ausente,
austero,ADJECTIVE,austero,
auténtica,ADJECTIVE,auténtico,
auténtico,ADJECTIVE,auténtico,
autóctono,ADJECTIVE,autóctono,
automático,ADJECTIVE,automático,
autónomo,ADJECTIVE,autónomo,
autoritario,ADJECTIVE,autoritario,
autorizado,ADJECTIVE,autorizado,
autosuficiente,ADJECTIVE,autosuficiente,
auxiliar,ADJECTIVE,auxiliar,
avaro,ADJECTIVE,avaro,
aventurero,ADJECTIVE,aventurero,
azafata,ADJECTIVE,azafato,
azaroso,ADJECTIVE,azaroso,
azul,ADJECTIVE,azul,
azules,ADJECTIVE,azul,
babosa,ADJECTIVE,baboso,
baboso,ADJECTIVE,baboso,
bacteriana,ADJECTIVE,bacteriano,
bailarín,ADJECTIVE,bailarín,
bailarina,ADJECTIVE,bailarín,
baja,ADJECTIVE,bajo,
baja,ADJECTIVE,bajo,
bajada,ADJECTIVE,bajado,
bajas,ADJECTIVE,bajo,
bajito,ADJECTIVE,bajito,
baldío,ADJECTIVE,baldío,
banal,ADJECTIVE,banal,
bancaria,ADJECTIVE,bancario,
bancario,ADJECTIVE,bancario,
barata,ADJECTIVE,barato,
barato,ADJECTIVE,barato,
bárbaro,ADJECTIVE,bárbaro,
básica,ADJECTIVE,básico,
básico,ADJECTIVE,básico,
básicos,ADJECTIVE,básico,
basto,ADJECTIVE,basto,
batata,ADJECTIVE,batato,
batido,ADJECTIVE,batido,
batidora,ADJECTIVE,batidor,
beige,ADJECTIVE,beige,
bélico,ADJECTIVE,bélico,
bella,ADJECTIVE,bello,
bellas,ADJECTIVE,bello,
bello,ADJECTIVE,bello,
bellos,ADJECTIVE,bello,
bemol,ADJECTIVE,bemol,
bendecido,ADJECTIVE,bendecido,
beneficioso,ADJECTIVE,beneficioso,
benéfico,ADJECTIVE,benéfico,
beodo,ADJECTIVE,beodo,
bestial,ADJECTIVE,bestial,
bienvenido,ADJECTIVE,bienvenido,
binario,ADJECTIVE,binario,
binoculares,ADJECTIVE,binocular,
biodegradable,ADJECTIVE,biodegradable,
biológico,ADJECTIVE,biológico,
bipolar,ADJECTIVE,bipolar,
bizarro,ADJECTIVE,bizarro,
bizcochos,ADJECTIVE,bizcocho,
blanca,ADJECTIVE,blanco,
blancas,ADJECTIVE,blanco,
blanco,ADJECTIVE,blanco,
blanco,ADJECTIVE,blanco,
negro,ADJECTIVE,negro,
blanda,ADJECTIVE,blando,
blando,ADJECTIVE,blando,
boba,ADJECTIVE,bobo,
bobo,ADJECTIVE,bobo,
bohemio,ADJECTIVE,bohemio,
bolas,ADJECTIVE,bolo,
bondadoso,ADJECTIVE,bondadoso,
bonita,ADJECTIVE,bonito,
bonito,ADJECTIVE,bonito,
bonitos,ADJECTIVE,bonito,
borracha,ADJECTIVE,borracho,
borracho,ADJECTIVE,borracho,
borrachos,ADJECTIVE,borracho,
borroso,ADJECTIVE,borroso,
botánica,ADJECTIVE,botánico,
bovino,ADJECTIVE,bovino,
boxeador,ADJECTIVE,boxeador,
breve,ADJECTIVE,breve,
brillante,ADJECTIVE,brillante,
brillantes,ADJECTIVE,brillante,
brillantina,ADJECTIVE,brillantino,
brilloso,ADJECTIVE,brilloso,
británico,ADJECTIVE,británico,
bronca,ADJECTIVE,bronco,
bronceado,ADJECTIVE,bronceado,
brumoso,ADJECTIVE,brumoso,
brusco,ADJECTIVE,brusco,
bruta,ADJECTIVE,bruto,
brutal,ADJECTIVE,brutal,
bruto,ADJECTIVE,bruto,
brutos,ADJECTIVE,bruto,
buen,ADJECTIVE,buen,
buena,ADJECTIVE,buen,
buenas,ADJECTIVE,buen,
buenísimo,ADJECTIVE,buenísimo,
buenos,ADJECTIVE,buen,
burdo,ADJECTIVE,burdo,
burra,ADJECTIVE,burro,
cabal,ADJECTIVE,cabal,
dura,ADJECTIVE,duro,
cabizbajo,ADJECTIVE,cabizbajo,
caduco,ADJECTIVE,caduco,
cagada,ADJECTIVE,cagado,
cagón,ADJECTIVE,cagón,
caídas,ADJECTIVE,caído,
calculador,ADJECTIVE,calculador,
calculadora,ADJECTIVE,calculador,
calentito,ADJECTIVE,calentito,
cálida,ADJECTIVE,cálido,
cálido,ADJECTIVE,cálido,
caliente,ADJECTIVE,caliente,
calientes,ADJECTIVE,caliente,
calificado,ADJECTIVE,calificado,
callado,ADJECTIVE,callado,
callejera,ADJECTIVE,callejero,
callejero,ADJECTIVE,callejero,
calmado,ADJECTIVE,calmado,
calmante,ADJECTIVE,calmante,
calmo,ADJECTIVE,calmo,
caluroso,ADJECTIVE,caluroso,
calzado,ADJECTIVE,calzado,
cambiante,ADJECTIVE,cambiante,
campera,ADJECTIVE,campero,
campestre,ADJECTIVE,campestre,
canchero,ADJECTIVE,canchero,
candente,ADJECTIVE,candente,
canino,ADJECTIVE,canino,
cansa,ADJECTIVE,canso,
cansada,ADJECTIVE,cansado,
cansado,ADJECTIVE,cansado,
cansino,ADJECTIVE,cansino,
cantante,ADJECTIVE,cantante,
cantantes,ADJECTIVE,cantante,
caótica,ADJECTIVE,caótico,
caótico,ADJECTIVE,caótico,
capacitado,ADJECTIVE,capacitado,
capaz,ADJECTIVE,capaz,
capitalista,ADJECTIVE,capitalista,
caprichoso,ADJECTIVE,caprichoso,
característico,ADJECTIVE,característico,
caradura,ADJECTIVE,caradura,
cardíaco,ADJECTIVE,cardíaco,
cardinal,ADJECTIVE,cardinal,
carente,ADJECTIVE,carente,
cargada,ADJECTIVE,cargado,
cargado,ADJECTIVE,cargado,
cariñosa,ADJECTIVE,cariñoso,
cariñoso,ADJECTIVE,cariñoso,
cariñosos,ADJECTIVE,cariñoso,
carismático,ADJECTIVE,carismático,
caritativo,ADJECTIVE,caritativo,
carnal,ADJECTIVE,carnal,
carnívoro,ADJECTIVE,carnívoro,
caro,ADJECTIVE,caro,
caros,ADJECTIVE,caro,
carroñero,ADJECTIVE,carroñero,
casada,ADJECTIVE,casado,
casado,ADJECTIVE,casado,
cascada,ADJECTIVE,cascado,
casera,ADJECTIVE,casero,
casero,ADJECTIVE,casero,
casto,ADJECTIVE,casto,
casual,ADJECTIVE,casual,
católica,ADJECTIVE,católico,
católico,ADJECTIVE,católico,
caudaloso,ADJECTIVE,caudaloso,
cauteloso,ADJECTIVE,cauteloso,
cauto,ADJECTIVE,cauto,
cavernícola,ADJECTIVE,cavernícola,
célebre,ADJECTIVE,célebre,
celeste,ADJECTIVE,celeste,
celestial,ADJECTIVE,celestial,
celosa,ADJECTIVE,celoso,
celoso,ADJECTIVE,celoso,
celular,ADJECTIVE,celular,
celulares,ADJECTIVE,celular,
ceniza,ADJECTIVE,cenizo,
centeno,ADJECTIVE,centeno,
centrado,ADJECTIVE,centrado,
central,ADJECTIVE,central,
cerámica,ADJECTIVE,cerámico,
cercado,ADJECTIVE,cercado,
cercana,ADJECTIVE,cercano,
cercano,ADJECTIVE,cercano,
cercanos,ADJECTIVE,cercano,
cereal,ADJECTIVE,cereal,
cereales,ADJECTIVE,cereal,
cerebral,ADJECTIVE,cerebral,
cerrada,ADJECTIVE,cerrado,
cerrado,ADJECTIVE,cerrado,
cerrados,ADJECTIVE,cerrado,
certero,ADJECTIVE,certero,
charlatán,ADJECTIVE,charlatán,
chata,ADJECTIVE,chato,
chic,ADJECTIVE,chic,
chiflado,ADJECTIVE,chiflado,
chiquito,ADJECTIVE,chiquito,
chismosa,ADJECTIVE,chismoso,
chismoso,ADJECTIVE,chismoso,
chistoso,ADJECTIVE,chistoso,
chorizos,ADJECTIVE,chorizo,
choto,ADJECTIVE,choto,
ciego,ADJECTIVE,ciego,
científico,ADJECTIVE,científico,
cierto,ADJECTIVE,cierto,
cínico,ADJECTIVE,cínico,
circular,ADJECTIVE,circular,
cítrico,ADJECTIVE,cítrico,
civil,ADJECTIVE,civil,
civiles,ADJECTIVE,civil,
clandestino,ADJECTIVE,clandestino,
clara,ADJECTIVE,claro,
claras,ADJECTIVE,claro,
claros,ADJECTIVE,claro,
alta,ADJECTIVE,alto,
social,ADJECTIVE,social,
clásica,ADJECTIVE,clásico,
clásico,ADJECTIVE,clásico,
clasista,ADJECTIVE,clasista,
clorofila,NOUN,clorofila,
cobarde,ADJECTIVE,cobarde,
cochina,ADJECTIVE,cochino,
cochino,ADJECTIVE,cochino,
codicioso,ADJECTIVE,codicioso,
cognitivo,ADJECTIVE,cognitivo,
coherente,ADJECTIVE,coherente,
coincidente,ADJECTIVE,coincidente,
cojo,ADJECTIVE,cojo,
colectivo,ADJECTIVE,colectivo,
colectivos,ADJECTIVE,colectivo,
colérico,ADJECTIVE,colérico,
colgado,ADJECTIVE,colgado,
colgante,ADJECTIVE,colgante,
colmado,ADJECTIVE,colmado,
colocado,ADJECTIVE,colocado,
colorada,ADJECTIVE,colorado,
colosal,ADJECTIVE,colosal,
combustible,ADJECTIVE,combustible,
comedido,ADJECTIVE,comedido,
comercial,ADJECTIVE,comercial,
comestible,ADJECTIVE,comestible,
comestibles,ADJECTIVE,comestible,
cómica,ADJECTIVE,cómico,
cómico,ADJECTIVE,cómico,
comilón,ADJECTIVE,comilón,
cómoda,ADJECTIVE,cómodo,
cómodo,ADJECTIVE,cómodo,
cómodos,ADJECTIVE,cómodo,
comparable,ADJECTIVE,comparable,
comparativo,ADJECTIVE,comparativo,
compartido,ADJECTIVE,compartido,
compasivo,ADJECTIVE,compasivo,
compatible,ADJECTIVE,compatible,
competente,ADJECTIVE,competente,
competitivo,ADJECTIVE,competitivo,
complaciente,ADJECTIVE,complaciente,
compleja,ADJECTIVE,complejo,
complejas,ADJECTIVE,complejo,
complementario,ADJECTIVE,complementario,
completa,ADJECTIVE,completo,
completo,ADJECTIVE,completo,
complicada,ADJECTIVE,complicado,
complicado,ADJECTIVE,complicado,
compositor,ADJECTIVE,compositor,
comprensible,ADJECTIVE,comprensible,
comprensivo,ADJECTIVE,comprensivo,
comprimido,ADJECTIVE,comprimido,
comprobable,ADJECTIVE,comprobable,
compuesto,ADJECTIVE,compuesto,
compulsivo,ADJECTIVE,compulsivo,
computadora,ADJECTIVE,computador,
computadoras,ADJECTIVE,computador,
común,ADJECTIVE,común,
comunes,ADJECTIVE,común,
comunicador,ADJECTIVE,comunicador,
comunicativo,ADJECTIVE,comunicativo,
concentrado,ADJECTIVE,concentrado,
concisa,ADJECTIVE,conciso,
conciso,ADJECTIVE,conciso,
concreta,ADJECTIVE,concreto,
concreto,ADJECTIVE,concreto,
condicionado,ADJECTIVE,condicionado,
conductor,ADJECTIVE,conductor,
conectado,ADJECTIVE,conectado,
confiable,ADJECTIVE,confiable,
confiables,ADJECTIVE,confiable,
confiado,ADJECTIVE,confiado,
confidencial,ADJECTIVE,confidencial,
confidente,ADJECTIVE,confidente,
conflictivo,ADJECTIVE,conflictivo,
conforme,ADJECTIVE,conforme,
confortable,ADJECTIVE,confortable,
confundido,ADJECTIVE,confundido,
confuso,ADJECTIVE,confuso,
congelado,ADJECTIVE,congelado,
conocedor,ADJECTIVE,conocedor,
conocida,ADJECTIVE,conocido,
conocido,ADJECTIVE,conocido,
conocidos,ADJECTIVE,conocido,
conquistador,ADJECTIVE,conquistador,
consciente,ADJECTIVE,consciente,
consecuente,ADJECTIVE,consecuente,
consecutivo,ADJECTIVE,consecutivo,
conservador,ADJECTIVE,conservador,
considerado,ADJECTIVE,considerado,
consistente,ADJECTIVE,consistente,
consonante,ADJECTIVE,consonante,
constante,ADJECTIVE,constante,
constructiva,ADJECTIVE,constructivo,
constructor,ADJECTIVE,constructor,
consumidor,ADJECTIVE,consumidor,
contable,ADJECTIVE,contable,
contagiosa,ADJECTIVE,contagioso,
contagioso,ADJECTIVE,contagioso,
contaminante,ADJECTIVE,contaminante,
contemporáneo,ADJECTIVE,contemporáneo,
contenidos,ADJECTIVE,contenido,
contento,ADJECTIVE,contento,
contentos,ADJECTIVE,contento,
contigua,ADJECTIVE,contiguo,
contiguo,ADJECTIVE,contiguo,
continua,ADJECTIVE,continuo,
continuo,ADJECTIVE,continuo,
contradictorio,ADJECTIVE,contradictorio,
contrariado,ADJECTIVE,contrariado,
remoto,ADJECTIVE,remoto,
contundente,ADJECTIVE,contundente,
convencido,ADJECTIVE,convencido,
convencional,ADJECTIVE,convencional,
conveniente,ADJECTIVE,conveniente,
conversador,ADJECTIVE,conversador,
convincente,ADJECTIVE,convincente,
cooperativa,ADJECTIVE,cooperativo,
coqueto,ADJECTIVE,coqueto,
corajudo,ADJECTIVE,corajudo,
coral,ADJECTIVE,coral,
cordial,ADJECTIVE,cordial,
cornudo,ADJECTIVE,cornudo,
corporal,ADJECTIVE,corporal,
corporales,ADJECTIVE,corporal,
corpulento,ADJECTIVE,corpulento,
correcta,ADJECTIVE,correcto,
correcto,ADJECTIVE,correcto,
correspondiente,ADJECTIVE,correspondiente,
corrida,ADJECTIVE,corrido,
corrosivo,ADJECTIVE,corrosivo,
corrupto,ADJECTIVE,corrupto,
corruptos,ADJECTIVE,corrupto,
corta,ADJECTIVE,corto,
cortada,ADJECTIVE,cortado,
cortante,ADJECTIVE,cortante,
cortas,ADJECTIVE,corto,
corto,ADJECTIVE,corto,
cortos,ADJECTIVE,corto,
cosmopolita,ADJECTIVE,cosmopolita,
costosa,ADJECTIVE,costoso,
costoso,ADJECTIVE,costoso,
cotidiano,ADJECTIVE,cotidiano,
craneal,ADJECTIVE,craneal,
creado,ADJECTIVE,creado,
creativa,ADJECTIVE,creativo,
creativo,ADJECTIVE,creativo,
creativos,ADJECTIVE,creativo,
crédulo,ADJECTIVE,crédulo,
creíble,ADJECTIVE,creíble,
creída,ADJECTIVE,creído,
cremoso,ADJECTIVE,cremoso,
criminal,ADJECTIVE,criminal,
criminales,ADJECTIVE,criminal,
criolla,ADJECTIVE,criollo,
criollo,ADJECTIVE,criollo,
cristalina,ADJECTIVE,cristalino,
cristalino,ADJECTIVE,cristalino,
cristiano,ADJECTIVE,cristiano,
cristianos,ADJECTIVE,cristiano,
crítico,ADJECTIVE,crítico,
cruda,ADJECTIVE,crudo,
crudo,ADJECTIVE,crudo,
cruel,ADJECTIVE,cruel,
crujiente,ADJECTIVE,crujiente,
roja,ADJECTIVE,rojo,
cruzadas,ADJECTIVE,cruzado,
cruzado,ADJECTIVE,cruzado,
cuadrada,ADJECTIVE,cuadrado,
cuadradas,ADJECTIVE,cuadrado,
cuadrado,ADJECTIVE,cuadrado,
cuadrados,ADJECTIVE,cuadrado,
cuadrúpedo,ADJECTIVE,cuadrúpedo,
cualitativo,ADJECTIVE,cualitativo,
cuántica,ADJECTIVE,cuántico,
cuantitativo,ADJECTIVE,cuantitativo,
cuarta,ADJECTIVE,cuarto,
cubierta,NOUN,cubierto,
cubierto,ADJECTIVE,cubierto,
cuerda,NOUN,cuerdo,
cuerdas,ADJECTIVE,cuerdo,
cuerdo,ADJECTIVE,cuerdo,
humano,ADJECTIVE,humano,
cuestionable,ADJECTIVE,cuestionable,
cuidada,ADJECTIVE,cuidado,
cuidadoso,ADJECTIVE,cuidadoso,
culpable,ADJECTIVE,culpable,
culpables,ADJECTIVE,culpable,
culposo,ADJECTIVE,culposo,
culta,ADJECTIVE,culto,
cultos,ADJECTIVE,culto,
cultural,ADJECTIVE,cultural,
curioso,ADJECTIVE,curioso,
cursi,ADJECTIVE,cursi,
cursiva,ADJECTIVE,cursivo,
curvo,ADJECTIVE,curvo,
dadivoso,ADJECTIVE,dadivoso,
dañado,ADJECTIVE,dañado,
dañina,ADJECTIVE,dañino,
dañino,ADJECTIVE,dañino,
dañinos,ADJECTIVE,dañino,
nuevo,ADJECTIVE,nuevo,
débil,ADJECTIVE,débil,
decadente,ADJECTIVE,decadente,
decente,ADJECTIVE,decente,
decidida,ADJECTIVE,decidido,
decimal,ADJECTIVE,decimal,
decisivo,ADJECTIVE,decisivo,
decorativo,ADJECTIVE,decorativo,
