"wordA","wordB","rating"
"acuerdo","alma",0.00559858743367967
"acuerdo","amistad",0.0207876632445912
"acuerdo","ansiedad",0.00392945640070612
"acuerdo","armonía",0.0305401959681373
"acuerdo","arreglo",0.0533457220467732
"acuerdo","atracción",0.0102789566600783
"acuerdo","ausencia",0.0083435087261801
"acuerdo","cálculo",0.00703629354631378
"acuerdo","comedia",0.00466767517723981
"acuerdo","competidor",0.0063072309836762
"acuerdo","comportamiento",0.0151102343309254
"acuerdo","conflicto",0.0176153379628694
"acuerdo","crimen",0.00363116489402644
"acuerdo","crisis",0.00459896047407929
"acuerdo","decisión",0.028319289522667
"acuerdo","democracia",0.0290012984037806
"acuerdo","desastre",0.00368824290791859
"acuerdo","descripción",0.0080086049186274
"acuerdo","descubrimiento",0.00570723661266156
"acuerdo","dificultad",0.00617442920019349
"acuerdo","disculpa",0.0318552097718691
"acuerdo","distancia",0.00608483345179611
"acuerdo","divorcio",0.0264389965340404
"acuerdo","duda",0.00421696302646366
"acuerdo","economía",0.00956818224736444
"acuerdo","edad",0.00415964909221816
"acuerdo","educación",0.00834810025488632
"acuerdo","energía",0.00443750546976298
"acuerdo","entrenamiento",0.00617842605934982
"acuerdo","entusiasmo",0.00992780030546448
"acuerdo","especialista",0.00621248233217519
"acuerdo","estupidez",0.00348736847193109
"acuerdo","evento",0.0138083838926944
"acuerdo","fantasía",0.00389895361364781
"acuerdo","física",0.00435452687347429
"acuerdo","genio",0.00386842901195132
"acuerdo","hambre",0.00300346964162556
"acuerdo","héroe",0.00383285327313658
"acuerdo","historia",0.0110933119822716
"acuerdo","honor",0.00690066015210548
"acuerdo","humanidad",0.0146681219740053
"acuerdo","humor",0.00456027675804062
"acuerdo","igualdad",0.0324509854408915
"acuerdo","imperio",0.00869187605791327
"acuerdo","independencia",0.0102579345956349
"acuerdo","infierno",0.00243514760154743
"acuerdo","ingreso",0.011865187835879
"acuerdo","interacción",0.025932485110099
"acuerdo","introducción",0.00580602878022745
"acuerdo","invención",0.007918262632199
"acuerdo","juventud",0.00365743082445732
"acuerdo","lenguaje",0.0125867723116582
"acuerdo","ley",0.0252264902478401
"acuerdo","logro",0.017983964351528
"acuerdo","método",0.0146588828713552
"acuerdo","noticias",0.00925250078230835
"acuerdo","número",0.00485843776230392
"acuerdo","operación",0.015093239116974
"acuerdo","oportunidad",0.0188619430250951
"acuerdo","orgullo",0.00604123423078961
"acuerdo","pista",0.00472120506153384
"acuerdo","posición",0.0212663926655862
"acuerdo","presión",0.00619974187873957
"acuerdo","propósito",0.0205095616565041
"acuerdo","radiación",0.00305119621342809
"acuerdo","reacción",0.00991432718829582
"acuerdo","relajación",0.0130131424016226
"acuerdo","resultado",0.0252981765166019
"acuerdo","revolución",0.00566650918824269
"acuerdo","sabiduría",0.011852393948063
"acuerdo","salud",0.00511971693430193
"acuerdo","seguridad",0.0167693043423603
"acuerdo","sentido",0.0153761465617717
"acuerdo","simpatía",0.00992961666762549
"acuerdo","soledad",0.00437199375762181
"acuerdo","temperamento",0.00665573624632468
"acuerdo","venganza",0.00357162837689452
"acuerdo","verdad",0.0117735760905624
"acuerdo","victoria",0.0104882898918204
"acuerdo","violencia",0.00341643514019748
"acuerdo","yo",0.00560845108267747
"alma","amistad",0.0235165576891196
"alma","ansiedad",0.0112017870296567
"alma","armonía",0.039619623399342
"alma","arreglo",0.0038144937763893
"alma","atracción",0.0184297980771093
"alma","ausencia",0.0158011246560029
"alma","cálculo",0.00266325516283211
"alma","comedia",0.00865603146492891
"alma","competidor",0.00320806624736293
"alma","comportamiento",0.00765841329200283
"alma","conflicto",0.00456674500013562
"alma","crimen",0.00242941593939047
"alma","crisis",0.0046675004109623
"alma","decisión",0.00447243069927069
"alma","democracia",0.00489141324741687
"alma","desastre",0.00287031079787551
"alma","descripción",0.00400044963506251
"alma","descubrimiento",0.00863163324534845
"alma","dificultad",0.00365451406237032
"alma","disculpa",0.00555870251007733
"alma","distancia",0.00692467818533718
"alma","divorcio",0.00290204802238096
"alma","duda",0.00937835813770434
"alma","economía",0.00250399974101427
"alma","edad",0.0172393286992064
"alma","educación",0.00684134907449884
"alma","energía",0.0287429539269052
"alma","entrenamiento",0.00646012434658459
"alma","entusiasmo",0.0138450394873426
"alma","especialista",0.00482800991418189
"alma","estupidez",0.0052680399872684
"alma","evento",0.00390915145473976
"alma","fantasía",0.0314056980404395
"alma","física",0.00601939457873213
"alma","genio",0.0116252511978259
"alma","hambre",0.00347536213183272
"alma","héroe",0.0109286868154746
"alma","historia",0.0113612919134892
"alma","honor",0.0155279079171356
"alma","humanidad",0.0298685436209426
"alma","humor",0.00971427752353206
"alma","igualdad",0.00967059170398146
"alma","imperio",0.00514111029686808
"alma","independencia",0.0126031841256258
"alma","infierno",0.0121156268063758
"alma","ingreso",0.00548662568802156
"alma","interacción",0.009368259553606
"alma","introducción",0.00341009186617423
"alma","invención",0.00752824155686556
"alma","juventud",0.0119594143314124
"alma","lenguaje",0.0118078067462574
"alma","ley",0.0042258271031635
"alma","logro",0.00490501086852456
"alma","método",0.00371247389929598
"alma","noticias",0.00331158093660739
"alma","número",0.00270835202187516
"alma","operación",0.00331953939107802
"alma","oportunidad",0.00596348022889867
"alma","orgullo",0.00819066922660344
"alma","pista",0.00284659504670142
"alma","posición",0.00577348608184094
"alma","presión",0.00352285389166728
"alma","propósito",0.0138595456422707
"alma","radiación",0.0109112590765171
"alma","reacción",0.00619877260135514
"alma","relajación",0.0267245493747839
"alma","resultado",0.0041225479436381
"alma","revolución",0.00501329250711998
"alma","sabiduría",0.0244144799911225
"alma","salud",0.0221037818250912
"alma","seguridad",0.00640294129271889
"alma","sentido",0.0176888702648235
"alma","simpatía",0.0191252280952736
"alma","soledad",0.021895629417293
"alma","temperamento",0.010707237654006
"alma","venganza",0.00261102335307609
"alma","verdad",0.0184954740275274
"alma","victoria",0.0042157280146057
"alma","violencia",0.00301425266071011
"alma","yo",0.0349141126567503
"amistad","ansiedad",0.00393521995646025
"amistad","armonía",0.0342532929718446
"amistad","arreglo",0.0106832063386233
"amistad","atracción",0.0313709402328928
"amistad","ausencia",0.00270272735499127
"amistad","cálculo",0.00252039230980894
"amistad","comedia",0.0140667477120009
"amistad","competidor",0.00435376685818018
"amistad","comportamiento",0.0144122157746339
"amistad","conflicto",0.00427238650826274
"amistad","crimen",0.00216983649415913
"amistad","crisis",0.00271233488634034
"amistad","decisión",0.00644066040606389
"amistad","democracia",0.00760477090776592
"amistad","desastre",0.00211611251749774
"amistad","descripción",0.00724876396077243
"amistad","descubrimiento",0.00803161720175147
"amistad","dificultad",0.00351414842940904
"amistad","disculpa",0.0222156753032199
"amistad","distancia",0.00309730160603633
"amistad","divorcio",0.00273852117377603
"amistad","duda",0.00331514847256593
"amistad","economía",0.00253452559433244
"amistad","edad",0.00766526822324732
"amistad","educación",0.00923036946748559
"amistad","energía",0.0180093334327802
"amistad","entrenamiento",0.00434475689493035
"amistad","entusiasmo",0.0215000269185334
"amistad","especialista",0.00323835209597761
"amistad","estupidez",0.00620785474389699
"amistad","evento",0.00816636753912183
"amistad","fantasía",0.0119698461883762
"amistad","física",0.00467561639566435
"amistad","genio",0.00402812655605636
"amistad","hambre",0.00210230032282723
"amistad","héroe",0.00573694219230041
"amistad","historia",0.00597371669572501
"amistad","honor",0.0179128214669528
"amistad","humanidad",0.026863450325368
"amistad","humor",0.0332085868873108
"amistad","igualdad",0.0209455725301182
"amistad","imperio",0.00268558773403749
"amistad","independencia",0.00620876858824973
"amistad","infierno",0.00182436351175541
"amistad","ingreso",0.00335035516437657
"amistad","interacción",0.0355919802830378
"amistad","introducción",0.00840833793709059
"amistad","invención",0.00440323005867335
"amistad","juventud",0.0222857988570103
"amistad","lenguaje",0.020487621903307
"amistad","ley",0.00505085925796988
"amistad","logro",0.00823656044798884
"amistad","método",0.00391524624834521
"amistad","noticias",0.00384937240994578
"amistad","número",0.00248835896801448
