"wordA","wordB","rating"
"ácido","aire",0.018292024890935
"ácido","animal",0.00698233830034182
"ácido","arma",0.0134680242856595
"ácido","arte",0.00404396366330982
"ácido","artículo",0.00645353391155586
"ácido","ascensor",0.00331650778083329
"ácido","barrera",0.00588414439184231
"ácido","bomba",0.012490856990287
"ácido","bosque",0.0105837077872594
"ácido","cachorro",0.00338118399910559
"ácido","cadáver",0.0148142074852394
"ácido","calendario",0.00292670703116655
"ácido","calle",0.00593238274602335
"ácido","camello",0.00333373369272068
"ácido","camión",0.00965471216364392
"ácido","cáncer",0.0126443088225088
"ácido","cantante",0.00234434746230548
"ácido","cebolla",0.0490942603202401
"ácido","cerveza",0.0165795177629905
"ácido","cicatriz",0.025966819391644
"ácido","colonia",0.00946139135394734
"ácido","comida",0.0298237166186967
"ácido","contrato",0.00351346470262956
"ácido","correo",0.00236966104790318
"ácido","cuerda",0.0032507949954647
"ácido","culo",0.00612629392010624
"ácido","desayuno",0.0177023314213911
"ácido","detective",0.00742117650188026
"ácido","diario",0.00448460447863016
"ácido","edificio",0.00406829986703215
"ácido","equipaje",0.00247910043457842
"ácido","estudiante",0.00529433578138178
"ácido","examen",0.00589806299053095
"ácido","fábrica",0.016791594506819
"ácido","familia",0.00460560535649098
"ácido","festival",0.00423044224960185
"ácido","foto",0.00400738943447567
"ácido","fruta",0.0403250193939566
"ácido","funeral",0.0150033248131534
"ácido","graduación",0.00710650071517533
"ácido","hermana",0.00284558462764713
"ácido","hombre",0.00636720394077866
"ácido","ídolo",0.00228180525535764
"ácido","joya",0.00582919154862557
"ácido","leche",0.0237676003981406
"ácido","lechuga",0.0164751931262709
"ácido","león",0.0036321621242856
"ácido","lluvia",0.0361474241394093
"ácido","masaje",0.00381071931884605
"ácido","mascota",0.00361261259532049
"ácido","melodía",0.00414359780326171
"ácido","nervio",0.0151445838557164
"ácido","niño",0.00445230037531751
"ácido","noche",0.00679336483955974
"ácido","nota",0.00254291987256567
"ácido","novela",0.00520443871488886
"ácido","ojo",0.0126255062941034
"ácido","oponente",0.00674146071561589
"ácido","oscuridad",0.00865349247037497
"ácido","pan",0.0226076244349378
"ácido","papá",0.0048238618057663
"ácido","piel",0.0198307069821861
"ácido","pirata",0.00385599898056574
"ácido","pluma",0.00346623832330559
"ácido","policía",0.00558678784674959
"ácido","prisión",0.00739858022548976
"ácido","propiedad",0.00806699034584698
"ácido","rata",0.0121722499192357
"ácido","rey",0.00294708762681383
"ácido","ropa",0.0034418777313973
"ácido","ruido",0.00617814010166737
"ácido","seda",0.00478494066862602
"ácido","silla",0.00506557167225103
"ácido","sombra",0.00678504020954276
"ácido","tiburón",0.00629016900461569
"ácido","uniforme",0.00326964028599699
"ácido","vegetal",0.0279021221030911
"ácido","víctima",0.013070257838749
"ácido","vidrio",0.00761409889752696
"ácido","volcán",0.0296855171566328
"ácido","yo",0.00628585546276942
"aire","animal",0.0132178955024529
"aire","arma",0.00370828370741788
"aire","arte",0.0119401247090824
"aire","artículo",0.00429699843496409
